Volatility 3 Framework 2.7.0

Offset	PID	TID	StartAddress	CreateTime	ExitTime
0xa08515573080	5676	5476	0x7ffc932a2690	2024-06-11 16:48:46.000000 	2024-06-11 16:48:55.000000 
0xa08515579080	4	48	0xf800753b5750	2024-06-11 16:43:36.000000 	-
0xa08515588080	1996	2044	0xcb0961c4c0e0	2024-06-11 16:44:12.000000 	-
0xa0851558a080	4	12	0xf800753cbe80	-	-
0xa0851558b080	824	1116	0x7ffc932a2690	2024-06-11 16:44:12.000000 	-
0xa0851558d080	388	1056	0x7ffc932a2690	2024-06-11 16:44:12.000000 	-
0xa0851558f080	1996	1112	0x7ffc932a2690	2024-06-11 16:44:12.000000 	-
0xa08515591080	1032	1428	0x7ffc932a2690	2024-06-11 16:45:20.000000 	-
0xa08515593080	3028	1804	0x7ffc932a2690	2024-06-11 16:46:55.000000 	-
0xa08515595080	1032	6412	0x7ffc932a2690	2024-06-11 16:48:40.000000 	-
0xa08515598080	4	272	0xf8007adc7130	2024-06-11 16:43:51.000000 	-
0xa0851559b080	4	36	0xf800753b7560	2024-06-11 16:43:36.000000 	-
0xa0851559c080	7876	8076	0x7ffc932a2690	2024-06-11 16:46:39.000000 	-
0xa0851559d080	4	268	0xf8007aa67060	2024-06-11 16:43:51.000000 	-
0xa0851559e080	1048	2344	0x7ffc932a2690	2024-06-11 16:49:35.000000 	-
0xa0851559f080	4	264	0xf8007aa67060	2024-06-11 16:43:51.000000 	-
0xa085155a1080	4	260	0xf8007aa67060	2024-06-11 16:43:51.000000 	-
0xa085155a2080	6456	7396	0x7ffc932a2690	2024-06-11 16:49:26.000000 	-
0xa085155a3080	4	256	0xf8007aa4f220	2024-06-11 16:43:51.000000 	-
0xa085155a4080	2556	788	0xa085155a44c8	2024-06-11 16:47:40.000000 	2024-06-11 16:47:46.000000 
0xa085155a5080	4	252	0xf8007a7c8940	2024-06-11 16:43:48.000000 	-
0xa085155a6080	5900	7136	0x7ffc932a2690	2024-06-11 16:47:30.000000 	-
0xa085155a7080	4	248	0xf8007a7a4340	2024-06-11 16:43:48.000000 	-
0xa085155a8080	1996	1836	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa085155aa080	1996	1900	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa085155ac080	4	52	0xf800753b90a0	2024-06-11 16:43:36.000000 	-
0xa085155ad080	1996	1920	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa085155ae080	4	244	0xf8007a657f60	2024-06-11 16:43:48.000000 	-
0xa085155af080	1848	1876	0xcb0961c4d460	2024-06-11 16:44:13.000000 	-
0xa085155b0080	4	240	0xf8007a2308c0	2024-06-11 16:43:45.000000 	-
0xa085155b2080	4	236	0xf8007a351ae0	2024-06-11 16:43:45.000000 	-
0xa085155b3080	2440	1256	0x7ffc932a2690	2024-06-11 16:49:44.000000 	-
0xa085155b4080	4	232	0xf8007a4ff990	2024-06-11 16:43:45.000000 	-
0xa085155b6080	4	228	0xf800752c3ce0	2024-06-11 16:43:44.000000 	-
0xa085155b7040	4220	6800	0x7ffc932a2690	2024-06-11 16:46:27.000000 	-
0xa085155b8080	4	224	0xf800752c3ce0	2024-06-11 16:43:44.000000 	-
0xa085155b9080	648	2056	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa085155ba080	4	220	0xf800752c3ce0	2024-06-11 16:43:44.000000 	-
0xa085155bb080	2060	2064	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa085155bd0c0	7900	7076	0x7ffc932a2690	2024-06-11 16:48:49.000000 	-
0xa085155be080	1032	1144	0xcb0962e4ffc0	2024-06-11 16:45:19.000000 	-
0xa085155bf080	4	216	0xf8007a348dd0	2024-06-11 16:43:43.000000 	-
0xa085155ce080	4	72	0xf800753af150	2024-06-11 16:43:36.000000 	-
0xa085155d1080	3888	3824	0x7ffc932a2690	2024-06-11 16:44:24.000000 	-
0xa085155da140	4	28	0xf800757b1a90	2024-06-11 16:43:36.000000 	-
0xa085155df080	4	76	0xf800753af150	2024-06-11 16:43:36.000000 	-
0xa085155e3140	4	32	0xf800752c3ce0	2024-06-11 16:43:36.000000 	-
0xa085155e7340	5900	7940	0xcb09647b5dc0	2024-06-11 16:48:45.000000 	-
0xa085155ec280	4	128	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa08515be3040	4	284	0xf800753bd3c0	2024-06-11 16:43:51.000000 	-
0xa08515be4040	4	288	0xf800753b76f0	2024-06-11 16:43:51.000000 	-
0xa08515c5a040	4	296	0xf800752c3ce0	2024-06-11 16:43:52.000000 	-
0xa08515c6c240	4	300	0xf800752c3ce0	2024-06-11 16:43:52.000000 	-
0xa08515db8040	4	312	0xf8007c608df0	2024-06-11 16:43:55.000000 	-
0xa08515dbd040	4	316	0xf800757bb9f0	2024-06-11 16:43:55.000000 	-
0xa08515e03040	4	320	0xf800752c3ce0	2024-06-11 16:43:55.000000 	-
0xa08515e04040	4	324	0xf800752c3ce0	2024-06-11 16:43:55.000000 	-
0xa08515e09080	6576	5128	0xa08515e094c8	2024-06-11 16:47:21.000000 	-
0xa08515e0f040	4	328	0xf800757af480	2024-06-11 16:43:55.000000 	-
0xa08515e45080	332	336	0x7ffc932a2690	2024-06-11 16:43:55.000000 	-
0xa08515e4a040	4	348	0xf8007d95f210	2024-06-11 16:43:55.000000 	-
0xa08515e56080	4	352	0xf8007be8a080	2024-06-11 16:43:55.000000 	-
0xa08515e655c0	7968	7552	0x7ffc932a2690	2024-06-11 16:45:32.000000 	-
0xa08515e78080	648	652	0x7ffc932a2690	2024-06-11 16:44:03.000000 	-
0xa08515e79080	556	644	0x7ffc932a2690	2024-06-11 16:44:03.000000 	-
0xa08515e8f080	448	592	0x7ffc932a2690	2024-06-11 16:44:02.000000 	-
0xa08515f83500	4	360	0xf800752c3ce0	2024-06-11 16:43:57.000000 	-
0xa08515f85040	4	364	0xf800752c3ce0	2024-06-11 16:43:57.000000 	-
0xa08516228080	712	756	0x7ffc932a2690	2024-06-11 16:44:05.000000 	-
0xa0851622b140	556	584	0x7ffc932a2690	2024-06-11 16:44:02.000000 	-
0xa0851622c080	712	780	0xcb09616f8ee0	2024-06-11 16:44:06.000000 	-
0xa0851622e080	100	408	0xf800753c02f0	2024-06-11 16:43:58.000000 	-
0xa0851622f080	100	412	0xf800753c02f0	2024-06-11 16:43:58.000000 	-
0xa08516230080	100	416	0xf800753c02f0	2024-06-11 16:43:58.000000 	-
0xa08516231080	7876	1312	0x7ffc932a2690	2024-06-11 16:46:40.000000 	2024-06-11 16:48:40.000000 
0xa085162a3080	5900	5912	0x7ffc932a2690	2024-06-11 16:49:17.000000 	-
0xa085162a4080	556	620	0xfc183b0c20d0	2024-06-11 16:44:02.000000 	-
0xa085162a9080	5800	7928	0x7ffc932a2690	2024-06-11 16:45:05.000000 	-
0xa085162af040	332	432	0x7ffc932a2690	2024-06-11 16:44:00.000000 	-
0xa085162b6080	556	636	0xcb095dfc0210	2024-06-11 16:44:03.000000 	-
0xa085162bc080	3160	3700	0x7ffc932a2690	2024-06-11 16:44:20.000000 	-
0xa085162bd080	4	444	0xf800753bf060	2024-06-11 16:44:01.000000 	-
0xa085162d1080	556	624	0xfc183b0d3460	2024-06-11 16:44:02.000000 	2024-06-11 16:44:13.000000 
0xa085162d6140	7900	6192	0x7ffc932a2690	2024-06-11 16:45:11.000000 	-
0xa085162d7080	3056	6952	0x7ffc932a2690	2024-06-11 16:48:34.000000 	-
0xa085162dc080	448	464	0x7ffc932a2690	2024-06-11 16:44:01.000000 	-
0xa085162dd080	7868	7872	0x7ffc932a2690	2024-06-11 16:45:04.000000 	-
0xa085163df0c0	4	476	0xf8007f936820	2024-06-11 16:44:01.000000 	-
0xa08516b710c0	4	480	0xf8007be5beb0	2024-06-11 16:44:01.000000 	-
0xa08516b80280	4	488	0xf8007f9ff360	2024-06-11 16:44:02.000000 	-
0xa08516b930c0	4	484	0xf8007c0e4d70	2024-06-11 16:44:02.000000 	-
0xa08516bb3080	448	520	0x7ffc932a2690	2024-06-11 16:44:02.000000 	-
0xa08516bc4080	448	524	0x7ffc932a2690	2024-06-11 16:44:02.000000 	2024-06-11 16:44:07.000000 
0xa08516bd5080	4	516	0xf8007fa088a0	2024-06-11 16:44:02.000000 	-
0xa08516c20500	448	536	0x7ffc932a2690	2024-06-11 16:44:02.000000 	-
0xa08516c21080	448	532	0x7ffc932a2690	2024-06-11 16:44:02.000000 	-
0xa08516c47080	448	528	0xcb095dfbee90	2024-06-11 16:44:02.000000 	-
0xa08516c4e080	3956	7780	0x7ffc932a2690	2024-06-11 16:45:02.000000 	-
0xa08516c4f080	548	552	0x7ffc932a2690	2024-06-11 16:44:02.000000 	-
0xa08516c50080	4956	8052	0x7ffc932a2690	2024-06-11 16:45:07.000000 	-
0xa08516c51080	556	628	0x7ffc932a2690	2024-06-11 16:44:03.000000 	-
0xa08516c74040	548	604	0x7ffc932a2690	2024-06-11 16:44:02.000000 	2024-06-11 16:46:16.000000 
0xa08516c7a0c0	4	600	0xf80079f82290	2024-06-11 16:44:02.000000 	-
0xa08516c7b040	548	596	0x7ffc932a2690	2024-06-11 16:44:02.000000 	2024-06-11 16:46:16.000000 
0xa08516c7c080	5932	5956	0x7ffc932a2690	2024-06-11 16:44:37.000000 	-
0xa08516c7d080	448	612	0x7ffc932a2690	2024-06-11 16:44:02.000000 	-
0xa08516c7e080	448	608	0x7ffc932a2690	2024-06-11 16:44:02.000000 	-
0xa08516c88080	556	632	0x7ffc932a2690	2024-06-11 16:44:03.000000 	2024-06-11 16:44:07.000000 
0xa08516c89040	4364	5228	0x7ffc932a2690	2024-06-11 16:49:31.000000 	-
0xa08516c970c0	556	640	0x7ffc932a2690	2024-06-11 16:44:03.000000 	-
0xa08516c9c040	4	3660	0xf80090eee0d0	2024-06-11 16:44:20.000000 	-
0xa08516ca0080	556	676	0x7ffc932a2690	2024-06-11 16:44:03.000000 	-
0xa08516ca1080	668	672	0xa08516ca14c8	2024-06-11 16:44:03.000000 	2024-06-11 16:44:20.000000 
0xa08516ca4080	556	692	0x7ffc932a2690	2024-06-11 16:44:03.000000 	-
0xa08516ca5080	556	688	0x7ffc932a2690	2024-06-11 16:44:03.000000 	-
0xa08516ca6080	4092	4928	0x7ffc932a2690	2024-06-11 16:48:16.000000 	-
0xa08516cc6040	5932	5960	0x7ffc932a2690	2024-06-11 16:44:37.000000 	-
0xa08516cc7040	712	748	0x7ffc932a2690	2024-06-11 16:44:04.000000 	-
0xa08516cc8080	712	744	0xcb09616f7080	2024-06-11 16:44:04.000000 	-
0xa08516cc9080	1436	1792	0x7ffc932a2690	2024-06-11 16:47:58.000000 	-
0xa08516cca040	5932	5976	0x7ffc932a2690	2024-06-11 16:44:37.000000 	-
0xa08516ccc080	548	720	0xa08516ccc4c8	2024-06-11 16:44:03.000000 	2024-06-11 16:46:16.000000 
0xa08516cce080	848	852	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516cd0080	712	732	0x7ffc932a2690	2024-06-11 16:44:03.000000 	-
0xa08516cd1080	712	716	0xa08516cd14c8	2024-06-11 16:44:03.000000 	2024-06-11 16:44:06.000000 
0xa08516cd30c0	712	740	0x7ffc932a2690	2024-06-11 16:44:04.000000 	-
0xa08516cd4040	668	3644	0xa08516cd4488	2024-06-11 16:44:20.000000 	2024-06-11 16:46:17.000000 
0xa08516cd5080	856	872	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516cd6080	856	860	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516cd8040	1576	1756	0x7ffc932a2690	2024-06-11 16:44:10.000000 	-
0xa08516cd9080	1712	1752	0xf800752e4350	2024-06-11 16:44:10.000000 	-
0xa08516cda080	1712	1748	0xf800752dfe80	2024-06-11 16:44:10.000000 	-
0xa08516cdb080	1712	1744	0xf800752dfe80	2024-06-11 16:44:10.000000 	-
0xa08516cde300	4644	7960	0x7ffc932a2690	2024-06-11 16:46:48.000000 	-
0xa08516ce0080	856	884	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516ce1080	856	880	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516ce2080	856	876	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516d1c0c0	940	944	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516d1e080	4264	560	0x7ffc932a2690	2024-06-11 16:49:26.000000 	-
0xa08516d1f080	824	828	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516d21080	3200	3712	0x7ffc932a2690	2024-06-11 16:44:20.000000 	-
0xa08516d22080	824	4268	0x7ffc932a2690	2024-06-11 16:49:32.000000 	-
0xa08516d24080	668	800	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516d25080	712	796	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516d26080	3732	1140	0x7ffc932a2690	2024-06-11 16:49:12.000000 	-
0xa08516d27040	2712	4884	0x7ffc932a2690	2024-06-11 16:49:11.000000 	-
0xa08516d28040	668	768	0x7ffc932a2690	2024-06-11 16:44:06.000000 	2024-06-11 16:44:20.000000 
0xa08516d3a080	940	984	0x7ffc932a2690	2024-06-11 16:44:07.000000 	-
0xa08516d3e080	940	980	0x7ffc932a2690	2024-06-11 16:44:07.000000 	2024-06-11 16:47:28.000000 
0xa08516d3f040	940	972	0x7ffc932a2690	2024-06-11 16:44:07.000000 	-
0xa08516d40080	824	968	0xcb09616f8b20	2024-06-11 16:44:07.000000 	-
